kind,name,start_inclusive,stop_exclusive,width,decision
spatial,piece_own,0,12,12,保留，收益未逐组消融
spatial,prob_teammate,12,24,12,保留，收益未逐组消融
spatial,dark_teammate,24,25,1,保留，收益未逐组消融
spatial,piece_left_side_enemy,25,26,1,保留，收益未逐组消融
spatial,piece_right_side_enemy,26,27,1,保留，收益未逐组消融
spatial,belief_left_side,27,39,12,保留，收益未逐组消融
spatial,belief_right_side,39,51,12,保留，收益未逐组消融
spatial,dead_flags,51,54,3,保留，收益未逐组消融
spatial,flag_revealed,54,58,4,保留，收益未逐组消融
spatial,board_static,58,64,6,保留，收益未逐组消融
spatial,turn_history,64,66,2,保留，收益未逐组消融
spatial,move_bucket,66,74,8,保留，收益未逐组消融
spatial,active_eat_bucket,74,82,8,保留，收益未逐组消融
spatial,passive_survive_bucket,82,90,8,保留，收益未逐组消融
spatial,death_reason,90,102,12,保留，收益未逐组消融
spatial,dead_at_zero,102,104,2,保留，收益未逐组消融
spatial,piece_slot,104,129,25,保留，收益未逐组消融
spatial,move_history,129,161,32,保留，收益未逐组消融
spatial,cm_kill_mine_type,161,173,12,优先消融，尚未删除
spatial,cm_kill_mine_ge,173,176,3,保留，收益未逐组消融
spatial,cm_kill_other_ge,176,179,3,保留，收益未逐组消融
spatial,cm_chain_type,179,191,12,保留，收益未逐组消融
spatial,cm_chain_ge,191,194,3,保留，收益未逐组消融
spatial,cm_floor_ge,194,203,9,保留，收益未逐组消融
spatial,cm_is_gongb,203,204,1,保留，收益未逐组消融
spatial,cm_not_gongb,204,205,1,保留，收益未逐组消融
spatial,cm_dilei_candidate,205,206,1,保留，收益未逐组消融
spatial,cm_my_kill_count_ge,206,209,3,保留，收益未逐组消融
spatial,cm_my_is_gongb,209,210,1,保留，收益未逐组消融
spatial,cm_my_dilei_candidate,210,211,1,保留，收益未逐组消融
spatial,cm_kill_mine_count,211,223,12,优先消融，尚未删除
spatial,cm_kill_mine_slot,223,253,30,优先消融，尚未删除
spatial,cm_recency,253,257,4,保留，收益未逐组消融
spatial,cm_eaten_by_pid,257,317,60,优先消融，尚未删除
global,remaining_left_side,0,12,12,保留，收益未逐组消融
global,remaining_right_side,12,24,12,保留，收益未逐组消融
global,flag_revealed,24,28,4,保留，收益未逐组消融
